sender_email,sender_name,recipient_email,recipient_name,date_sent,subject
,,,,24 Jan 2003,ASSISTANCE.
,,,,,=?iso-8859-1?Q?From_Mr._Lawrence_Smith?=
,,,,9 Apr 2001,CONFIDENTIAL/COOPERATION
,,,,27 Jan 2003,Urgent assistance.
,,,,27 Jan 2003,hi friend
,,,,,URGENT AND CONFIDENTIAL
,,,,28 Jan 2003,REQUEST FOR AN ASSISTANCE
,,,,28 Jan 2003,NEXT OF KIN
,,,,,URGENT BUSINESS PROPOSAL
,,,,31 Jan 2003,urgent
,,,,01 Feb 2003,from lamine
,,,,14 Apr 2001,CONFIDENTIAL/COOPERATION
,,,,14 Apr 2001,CONFIDENTIAL/COOPERATION
,,,,1 Feb 2003,FOREIGN PARTNER
,,,,3 Feb 2003,HELLO
,,,,04 Feb 2003,Attn/Dddddddd Rrrrr
,,,,06 Feb 2003,BUSINESS OFFER
,,,,06 Feb 2003,BUSINESS OFFER
,,,,06 Feb 2003,confidential.
,,,,20 Apr 2001,PRIVATE AND CONFIDENTIAL
,,,,7 Feb 2003,urgent and confidential.
,,,,8 Feb 2003,Urgent Update
,,,,09 Feb 2003,URGENT AND CONFIDENTIAL
,,,,10 Feb 2003,URGENT BUSINESS OFFER
,,,,10 Feb 2003,URGENT BUSINESS OFFER
,,,,9 Feb 2003,transparent enterprises
,,,,10 Feb 2003,GOOD DAY
,,,,12 Feb 2003,PLEASE REPENT AND KNOW YOUR GOD/ ALSO ASSIST ME
,,,,12 Feb 2003,PLEASE REPENT AND KNOW YOUR GOD/ ALSO ASSIST ME
,,,,12 Feb 2003,LOOKING FOR TRUSTED PARTNER
,,,,,TOP SECRET AND CONFIDENTIAL.
,,,,14 Feb 2003,BUSINESS PROPOSAL.
,,,,16 Feb 2003,AWAITING YOUR SINCERE RESPONSE
,,,,2 May 2001,ATTENTION
,,,,2 May 2001,ATTENTION
,,,,20 Feb 2003,STRICTLY A PRIVATE BUSINESS PROPOSAL
,,,,20 Feb 2003,STRICTLY A PRIVATE BUSINESS PROPOSAL
,,,,,URGENT BUSINESS ASSISTANC
,,,,,URGENT BUSINESS ASSISTANC
,,,,,URGENT BUSINESS ASSISTANCE
,,,,,URGENT BUSINESS ASSISTANCE
,,,,21 Feb 2003,urgent and confidential.
,,,,22 Feb 2003,URGENT BUSINESS ASSISTANCE
,,,,22 Feb 2003,URGENT BUSINESS ASSISTANCE
,,,,22 Feb 2003,RELIABLE AND REPUTABLE PERSON
,,,,23 Feb 2003,Partnership Required!!!
,,,,,OFFER FOR CONSIDERATION
,,,,24 Feb 2003,BUSINESS PROPOSAL
,,,,24 Feb 2003,urgent business transaction
,,,,27 Feb 2003,VERY URGENT BUSINESS MATTERS
,,,,27 Feb 2003,TREAT AS URGENT
,,,,27 Feb 2003,TREAT AS URGENT
,,,,27 Feb 2003,fund transfer.
,,,,28 Feb 2003,ASSISTANCE
,,,,2 Mar 2003,Confidential
,,,,2 Mar 2003,Immediate Attention.
,,,,03 Mar 2003,Private Email Message.
,,,,3 Mar 2003,Request for Assistance!
,,,,3 Mar 2003,Request for Assistance!
,,,,3 Mar 2003,Request for Assistance!
,,,,3 Mar 2003,Request for Assistance!
,,,,4 Mar 2003,REPLY UNGENT   
,,,,1 Jan 2001,GOOD DAY SIR
,,,,5 Mar 2003,***SPAM*** Please respond  !!!!!
,,,,1 Jan 1999,Dr. Don Arturo Ramitez.
,,,,08 Mar 2003,Urgent Business Assistance. 
,,,,9 Mar 2003,GOOD DAY 
,,,,10 Mar 2003,Private Email Message.
,,,,04 Oct 2003,GOOD  DAY
,,,,12 Mar 2003,PLEASE   RESPOND
,,,,12 Mar 2003,PLEASE   RESPOND
,,,,12 Mar 2003,PLEASE   RESPOND
,,,,12 Mar 2003,PLEASE   RESPOND
,,,,12 Mar 2003,PLEASE   RESPOND
,,,,13 Mar 2003,STRICTLY  URGENT AND CONFIDENTIAL
,,,,21 Mar 2003,HELLO
,,,,22 Mar 2003,assistance
,,,,4 Oct 2002,assistance
,,,,25 Mar 2003,URGENT AND CONFIDENTIAL
,,,,27 Mar 2003,***SPAM*** pls very urgent
,,,,27 Mar 2003,***SPAM*** pls very urgent
,,,,29 Mar 2003,FROM GOODWILL MPENZA
,,,,30 Mar 2003,***SPAM*** VERY URGENT BUSINESS MATTERS 
,,,,30 Mar 2003,business assistance
,,,,,HELP FROM MRS  BRIDGET
,,,,31 Mar 2003,
,,,,,NEED URGENT REPLY
,,,,03 Apr 2003,INVESTMENT  ASSISTANCE
,,,,,Iraq
,,,,2 Apr 2003,GOOD  MORNING
,,,,,Iraq
,,,,5 Apr 2003,PLEASE CALL ME
,,,,5 Apr 2003,PLEASE CALL ME
,,,,7 Apr 2003,Pls Acknowledge
,,,,,     REQUEST FOR ASSISTANCE.
,,,,,     STRICTLY  CONFIDENTIAL
,,,,15 Apr 2003,INVESTMENT PROPOSAL
,,,,,INVESTMENT OFFER.
,,,,,
,,,,18 Apr 2003,Private Email to you.
,,,,18 Apr 2003,***SPAM*** PASCAL 
,,,,18 Apr 2003,***SPAM*** PASCAL 
,,,,18 Apr 2001,SINCERE PROPOSITION
,,,,18 Apr 2003,BUSINESS RELATIONSHIP!!!!!
,,,,23 Apr 2003,
,,,,23 Apr 2003,EXPECTING YOUR MAIL OR PHONE CALL.
,,,,24 Apr 2003,PRIVATE
,,,,25 Apr 2003,REF
,,,,28 Apr 2003,URGENT ASSISTANCE
,,,,29 Apr 2003,PRIVATE EMAIL MESSAGE.
,,,,29 Apr 2003,REGARDS FROM DR. BABS.
,,,,30 Apr 2003,"US$10,000,000 (United States Ten Million Dollars) Investment."
,,,,01 May 2003,urgent response
,,,,1 May 2003,FairDeal(Urgent)
,,,,,
,,,,1 May 2003,BUSINESS PROPOSAL!!!!!!!
,,,,2 May 2003,a cry for help
,,,,2 May 2003,MRS ROSE SAVIMBI
,,,,,I NEED YOU TO HELP ME
,,,,05 May 2003,ASSISTANCE NEEDED
,,,,6 May 2003,ASSISTANCEW  NEEDED.
,,,,6 May 2003,ASSISTANCEW  NEEDED.
,,,,6 May 2003,CONFIDENTIAL
,,,,06 May 2003,AWAITING YOUR RESPONES
,,,,8 May 2003,CONFIDENTIAL
,,,,09 May 2003,Business Cooperation
,,,,9 May 2003,PARTNERSHIP SOLICITED
,,,,6 Jun 2003,URGENT HELP NEEDED!!!!!!!!!!!!!!!
,,,,12 May 2003, Urgent Assistance From South Africa.
,,,,14 May 2003,DUKAT KABILA(Jnr)
,,,,14 May 2003,From Dr. Bouguiba Samuel
,,,,14 May 2003,ASISSTANCE.
,,,,14 May 2003,ASISSTANCE.
,,,,14 May 2003,ASISSTANCE
,,,,14 May 2003,Letter from Tenders Board (Urgent)
,,,,16 May 2003,PLEASE REPLY ME
,,,,16 May 2003,REQUEST FOR ASSISTANCE IN A FINANCIAL TRANSACTION.
,,,,16 May 2003,REQUEST FOR ASSISTANCE IN A FINANCIAL TRANSACTION.
,,,,17 May 2003,URGENT BUSINESS PROPOSAL
,,,,18 May 2003,I AWAIT YOUR REPLY.
,,,,10 May 2001,REQUEST FOR YOUR URGENT ASSISTANCE
,,,,19 May 2003,YOUR ASSISTANT NEEDED
,,,,19 May 2003,SOLICITATION FOR BUSINESS PARTNERSHIP
,,,,18 May 2003,Can  You  Assist?
,,,,19 May 2003,CAN YOU......?
,,,,22 May 2003,cry  for  help
,,,,22 May 2003,URGENT FROM DELE MARTINS
,,,,22 May 2003,HELP SERVE HUMANITY
,,,,22 May 2003,Confidant
,,,,23 May 2003,Business Proposal
,,,,23 May 2003, SOLICITING   FOR  A  BUSINESS  ASSISTANCE
,,,,,VERY URGENT ATTENTION
,,,,23 May 2003, SOLICITING   FOR  A  BUSINESS  ASSISTANCE
,,,,23 May 2003,
,,,,24 May 2003,URGENT    REPLY
,,,,24 May 2003,URGENT    REPLY
,,,,28 Mar 2000,***SPAM*** Assalamalekum! Please read and reply soon 
,,,,28 Mar 2000,***SPAM*** Assalamalekum! Please read and reply soon 
,,,,27 May 2003,Happy Day
,,,,27 May 2003,battery
,,,,28 May 2003,urgent and confidential
,,,,30 May 2003,INVESTMENT ASSISTANCE
,,,,,BUSINESS PROPOSAL
,,,,31 May 2003,From Nkomo Oil services LTD
,,,,02 Jun 2003,ASSISTANCE 
,,,,2 Jun 2003,"I need your help,please reply"
,,,,2 Jun 2003,"I need your help,please reply"
,,,,02 Jun 2003,urgent reply
,,,,3 Jun 2003,DEAR PARTNER
,,,,3 Jun 2003,DEAR PARTNER
,,,,31 May 2003,SOLICITY FOR BUSINESS AND PARTNERSHIP.
,,,,,Remitance Dept
,,,,4 Jun 2003,MRS. MARIAM M. SESE-SEKO
,,,,5 Jun 2003,let us work together
,,,,4 Jan 1980,***SPAM*** PRIVATE  MAIL.  PLEASE REPLY IMMEDIATELY. 
,,,,4 Jun 2003,***SPAM*** ***SPAM*** PRIVATE  MAIL.  PLEASE REPLY IMMEDIATELY.  
,,,,06 Jun 2003,"From Nkomo Oil services, Urgent Transaction!"
,,,,06 Jun 2003,"From Nkomo Oil services, Urgent Transaction!"
,,,,9 Jun 2003,REQUEST
,,,,09 Jun 2003,YOUR URGENT ASSISTANCE IS REQUIRED.
,,,,09 Jun 2003,CRY FOR HELP
,,,,10 Jun 2003,ASSITANCE
,,,,10 Jun 2003,GOD'S  WORK.
,,,,11 Jun 2003,CONFIDENTIAL
,,,,11 Jun 2003,Can You Keep A Secret?
,,,,12 Jun 2003,Urgent response!
,,,,13 Jun 2003,CONFIDENTIAL
,,,,13 Jun 2003,TREAT AS URGENT AND CONFIDENTIAL
,,,,13 Jun 2003,GOODDAY SIR
,,,,14 Jun 2003,seeking for your assistant.
,,,,14 Jun 2003,Please reply
,,,,14 Jun 2003,THIS IS PRIVATE AND PERSONAL.
,,,,14 Jun 2003,THIS IS PRIVATE AND PERSONAL.
,,,,15 Jun 2003,PLEASE GET BACK TO ME URGENTLY
,,,,16 Jun 2003,WINNING  NOTIFICATION
,,,,,Business  Partnership   Proposal   [Hiphly  Confidenfial ]
,,,,16 Jun 2003,HELP/BUSINESS PROPOSAL
,,,,16 Jun 2003,HELP/BUSINESS PROPOSAL
,,,,17 Jun 2003,"MY FRIEND, PLEASE I WANT TO HEAR FROM YOU TODAY"
,,,,4 Jan 1980,URGENT ASSISTANT NEEDED.
,,,,20 Jun 2003,
,,,,23 Jun 2003, MRS SARA LAURENT KABILA
,,,,24 Jun 2003,With Utmost Sincerity.
,,,,24 Jun 2003,With Utmost Sincerity.
,,,,24 Jun 2003,fund transfer
,,,,24 Jun 2003,please reply
,,,,27 Jun 2003,Urgent
,,,,28 Jun 2003,N.N.P.C ( STRICTLY   FOR  YOU )
,,,,,=?iso-8859-1?Q?we_need_your_assistance_with_good_faith?=
,,,,29 Jun 2003,urgent response
,,,,29 Jun 2003,Proposal
,,,,29 Jun 2003,Proposal
,,,,30 Jun 2003,confidential  ( business )
,,,,30 Jun 2003,Private and Confidential.
,,,,01 Jul 2003,ASSISTANCE NEEDED
,,,,,CONTACT ME
,,,,1 Jul 2003,BUSINESS OPPORTUNITY
,,,,2 Jul 2003,BUSINESS OPPORTUNITY
,,,,3 Jul 2003,CHANGES
,,,,05 Jul 2003,Letter from a suffering family
,,,,5 Jul 2003,Important Business Proposition
,,,,08 Jul 2003,Thank You.
,,,,08 Jul 2003,Thank You.
,,,,08 Jul 2003,Thank You.
,,,,11 Jul 2003,URGENT  ASSISTANCE
,,,,14 Jul 2003,lmportant
,,,,14 Jul 2003,lmportant
,,,,14 Jul 2003,please
,,,,16 Jul 2003,Hello
,,,,17 Jul 2003,Your E-Loan Refinance Application Declined
,,,,17 Jul 2003,Your E-Loan Refinance Application Declined
,,,,17 Jul 2003,Your E-Loan Refinance Application Declined
,,,,17 Jul 2003,HELLO
,,,,20 Jul 2003,Solicitation
,,,,22 Jul 2003,Wells Fargo Bank New Business Account Application - ID# 4489
,,,,22 Jul 2003,Wells Fargo Bank New Business Account Application - ID# 4489
,,,,22 Jul 2003,Wells Fargo Bank New Business Account Application - ID# 4489
,,,,22 Jul 2003,CRY FOR HELP
,,,,22 Jul 2003,re:confidential matter for you
,,,,23 Jul 2003,Investment  Proposal.
,,,,22 Jul 2003,AN URGENT HELP. 
,,,,22 Jul 2003,AN URGENT HELP.
,,,,1 Jan 2001,URGENT REPLY
,,,,1 Jan 2001,URGENT REPLY
,,,,1 Jan 2001,URGENT REPLY
,,,,1 Jan 2001,URGENT REPLY
,,,,24 Jul 2003,CONGRATULATIONS
,,,,25 Jul 2003,matter of interest
,,,,25 Jul 2003,matter of interest
,,,,,SEEKING FOR YOUR KIND ASSISTANCE
,,,,25 Jul 2003,NEED YOUR ASSISTANCE
,,,,27 Jul 2003,PLEASE HELP
,,,,29 Jul 2003,URGENT BUSINESS PROPOSAL
,,,,28 Jul 2000,BUSINESS OPPORTUNITY.
,,,,28 Jul 2003,URGENT AND CONFIDENTIAL
,,,,,Please help me
,,,,29 Jul 2003,
,,,,30 Jul 2003,HELLO
,,,,31 Jul 2003,Please confirm receipt.
,,,,,Turn your views into cash
,,,,,PRIVATE
,,,,2 Aug 2003,Hello !!
,,,,2 Aug 2003,Hello !!
,,,,2 Aug 2003,urgent from duke
,,,,3 Aug 2003,BUSINESS PARTNER
,,,,3 Aug 2003,Urgent Assistance From South Africa.
,,,,3 Aug 2003,Private Mail.
,,,,3 Aug 2003,Private Mail.
,,,,3 Aug 2003,BUSINESS ASSISTANCE !
,,,,3 Aug 2003,MY DEAR !
,,,,4 Aug 2003,between us
,,,,04 Aug 2003,URGENT BUSINESS PROPOSAL
,,,,4 Aug 2003,please reply
,,,,4 Aug 2003,please reply
,,,,9 Jun 2001,I NEED YOU URGENT BUSINESS ASSISTANCE.
,,,,,
,,,,5 Aug 2003,STRICTLY CONFIDENTIAL
,,,,05 Aug 2003,"Hello, please reply now!"
,,,,7 Aug 2003,Confidential Matter
,,,,8 Aug 2003,Urgent Assistance From South Africa.
,,,,,PLEASE CONFIRM RECEIPT
,,,,11 Aug 2003,PLEASE KINDLY GET BACK TO ME.
,,,,11 Aug 2003,Warm Heart
,,,,11 Aug 2003,Warm Heart
,,,,11 Aug 2003,from barr mathew ike
,,,,12 Aug 2003,INVESTMENT   CONTACTS.
,,,,12 Aug 2003,PRIVATE!!!!
,,,,12 Aug 2003,GOD;S     WORK
,,,,12 Aug 2003,Fund Management.
,,,,,URGENT RESPONSE
,,,,,URGENT RESPONSE
,,,,13 Aug 2003,FROM MUSTAFA
,,,,14 Aug 2003,HELLO
,,,,,ASIST ME!!!!!!!
,,,,16 Aug 2003,THANKS
,,,,21 Aug 2003,OVER TURE
,,,,,     Matter Of Assistance
,,,,22 Aug 2003,Urgent  Business Proposal.
,,,,,Urgent  Business Proposal.
,,,,23 Aug 2003,NEXT OF KIN NEEDED
,,,,22 Aug 2003,REQUEST
,,,,,BUSINESS /TRANSACTION.
,,,,31 Jul 2003,HELLO.
,,,,26 Aug 2003,!!!ASSISTANCE NEEDED!!!
,,,,26 Aug 2003,vital  link.
,,,,27 Aug 2003,CONFIDENTIAL
,,,,27 Aug 2003,urgent business transaction!!
,,,,27 Aug 2003,are you with me.
,,,,27 Aug 2003,URGENT&CONFIDENTAT
,,,,27 Aug 2003,URGENT&CONFIDENTAT
,,,,29 Aug 2003,Please could you be of help.
,,,,01 Sep 2003,INVESTMENT PROPOSAL
,,,,02 Sep 2003,REQUEST....
,,,,02 Sep 2003,REQUEST....
,,,,3 Sep 2003,[Info-www-search] Your Understanding And Cooperation
,,,,,PLEASE READ
,,,,04 Sep 2003,JOINT VENTURE
,,,,,Dddddddd R. Rrrrr Message from Vasil Nanchev.
,,,,,PLEASE READ
,,,,15 Jan 1980,please reply
,,,,04 Sep 2003,JOINT VENTURE
,,,,,"     URGENT BUSINESS PROPOSAL,"
,,,,,urgent cliam of next of kin
,,,,,URGENT ASSISTANCE
,,,,,MY WILL.
,,,,,PLEASE READ
,,,,10 Sep 2003,BUSINESS PROPOSAL  
,,,,10 Sep 2003,ASSISTANCE
,,,,1 Jan 2000,ASSISTANCE   FOR CHARLES  TAYLOR
,,,,,PLEASE READ
,,,,,Respond
,,,,,Business Transaction/Agreement
,,,,,NICE TO YOU.
,,,,14 Sep 2003,PROJECT INTEREST.
,,,,14 Sep 2003,PROJECT INTEREST.
,,,,17 Sep 2003,Hilary Kamokai 
,,,,18 Sep 2003,BUSINESS PROPOSER REQUESTING CHANGE OF OWNERSHIP
,,,,19 Sep 2003,HOW ARE YOU TODAY?
,,,,20 Sep 2003,IMPORTANT
,,,,20 Sep 2003,DR. George Ibrahim Quattara
,,,,20 Sep 2003,Hello dear
,,,,20 Sep 2003,FROM THE DEK OF DR BATURE
,,,,20 Sep 2003,REQUEST....
,,,,23 Sep 2003,Hello
,,,,22 Sep 2003,DONATION FOR THE LORD.
,,,,23 Sep 2003,Responds needed
,,,,24 Sep 2003,partnership
,,,,25 Sep 2003,confirm receipt.
,,,,,PRIVATE
,,,,26 Sep 2003,A CRY FOR HELP
,,,,26 Sep 2003,A CRY FOR HELP
,,,,26 Sep 2003,Please help.Thomas Sesay Karimu
,,,,27 Sep 2003,URGENT APPEAL FOR HELP.
,,,,28 Sep 2003,CONTACT ME
,,,,28 Sep 2003,ASSIST
,,,,29 Sep 2003,important.
,,,,29 Sep 2003,FOR A MUTUAL BUSINESS BENEFIT
,,,,1 Oct 2003,URGENT BUSINESS PARTNERSHIP REQUEST
,,,,1 Oct 2003,URGENT BUSINESS PARTNERSHIP REQUEST
,,,,2 Oct 2003,CONTACT ME
,,,,2 Oct 2003,JOINT VENTURE
,,,,03 Oct 2003, FROM MISS ZAINAB UBA 
,,,,4 Oct 2003,Assistance
,,,,4 Oct 2003,Assistance
,,,,4 Oct 2003,Hello From Mrs. Victoria Bucknor
,,,,4 Oct 2003,Hello From Mrs. Victoria Bucknor
,,,,4 Oct 2003,Hello From Mrs. Victoria Bucknor
,,,,4 Oct 2003,Hello From Mrs. Victoria Bucknor
,,,,06 Oct 2003,DONATION FOR THE LORD.
,,,,20 Sep 2002,urgent from duke
,,,,7 Oct 2003,HELP
,,,,07 Oct 2003,THANKS
,,,,10 Jul 2003,URGENT ASSISTANCE
,,,,7 Oct 2003,URGENT MATTER................
,,,,7 Oct 2003,?????????? 
,,,,8 Oct 2003,I NEED YOUR URGENT HELP PLEASE
,,,,9 Oct 2003,HELP
,,,,,REPLY SOON
,,,,,REPLY SOON
,,,,,REPLY SOON
,,,,10 Oct 2003,CAN I TRUST YOU ??????............
,,,,11 Oct 2003,reply
,,,,12 Oct 2003,URGENT REPLY
,,,,,BUSINESS PARTNERSHIP & RELATIONSHIP
,,,,16 Aug 2003,TRUSTED PARTNER.
,,,,12 Oct 2003,BUSINESS PROPOSAL.
,,,,,MRS. SUSAN (REPLY).
,,,,13 Oct 2003,Request for Assistance!
,,,,13 Oct 2003,THANKS
,,,,,NEXT OF KIN /PATNERSHIP
,,,,14 Oct 2003,Business Proposal
,,,,15 Oct 2003,urgent from duke
,,,,16 Oct 2003,urgent from duke
,,,,16 Oct 2003,Urgent Reply
,,,,16 Oct 2003,FROM MR.MICHAEL OF I.B.A !
,,,,16 Oct 2003,FROM MR.MICHAEL OF I.B.A !
,,,,,PROJECT
,,,,,PROJECT
,,,,,Business proposal
,,,,,URGENT AND CONFIDENTIAL 
,,,,18 Oct 2003,HELP.
,,,,19 Oct 2003,CONTACTING YOU PRIVATELY
,,,,19 Oct 2003, Davies
,,,,20 Oct 2003,BUSINESS RELATIONSHIP
,,,,,Please......Assist
,,,,,PROJECT INTEREST.
,,,,20 Oct 2003,GREETINGS FROM MOHAMMED
,,,,20 Oct 2003,GREETINGS FROM MOHAMMED
,,,,20 Oct 2003,GREETINGS FROM MOHAMMED
,,,,20 Oct 2003,GREETINGS FROM MOHAMMED
,,,,20 Oct 2003,GREETINGS FROM MOHAMMED
,,,,20 Oct 2003,GREETINGS FROM MARK
,,,,,RESPOND  URGENTLY PLS. - REF:rf/ntl-fgn
,,,,21 Oct 2003,CAN I TRUST YOU WITH THIS BUSINESS?
,,,,21 Oct 2003,CAN I TRUST YOU WITH THIS BUSINESS?
,,,,21 Oct 2003,CAN I TRUST YOU WITH THIS BUSINESS?
,,,,21 Oct 2003,CONFIDENTIAL BUSINESS PROPOSAL.
,,,,6 Oct 2002,urgent from duke
,,,,22 Oct 2003,Chessonfamily corporation
,,,,23 Oct 2003,DONATION FOR THE LORD.
,,,,23 Oct 2003,THANKS
,,,,23 Oct 2003,CONTACT ME
,,,,23 Oct 2003,CONTACT ME
,,,,,Good day
,,,,15 May 2002,GOOD DAY
,,,,,PRIVATE AND CONFIDENTIAL
,,,,,BELOVED !
,,,,,BELOVED !
,,,,24 Oct 2003,DEAR FRIEND
,,,,24 Oct 2003,DEAR  FRIEND
,,,,24 Oct 2003,"DR , DONALD  IKE"
,,,,,Introduction.
,,,,26 Oct 2003,AWARD NOTIFICATION; FINAL NOTICE
,,,,27 Oct 2003,GREETINGS!
,,,,27 Oct 2003,GREETINGS!
,,,,,"rrrrr,URGENT CONFIDENTIAL ASSISTANCE IN A MUTUALLY BENEFICIAL TRANSACTION"
,,,,28 Oct 2003,GOD BLESS YOU AS YOU RESPOND
,,,,28 Oct 2003,hello
,,,,,PROJECT INTEREST.
,,,,,KINDLY ASSIST
,,,,30 Oct 2003,URGENT ATTENTION.
,,,,30 Oct 2003,Re; Letter
,,,,30 Oct 2003,mail me
,,,,30 Oct 2003,mail me
,,,,30 Oct 2003,mail me
,,,,30 Oct 2003,mail me
,,,,,Please reply
,,,,31 Oct 2003,please assist
,,,,04 Nov 2003,YOUR ATTENTION URGENTLY NEEDED.      quintman
,,,,,FROM THE DESK MALLAM BELLO ALI
,,,,,URGENT
,,,,6 Nov 2003,JOINT VENTURE PROPOSAL
,,,,6 Nov 2003,JOINT VENTURE PROPOSAL
,,,,6 Nov 2003,Urgent needed
,,,,6 Nov 2003,I NEED YOUR MUTUAL ASSISTANCE
,,,,06 Nov 2003,"""ATTN. QUICK SUPPORT"""
,,,,06 Nov 2003, DEAR  FRIEND
,,,,,urgent assistance please
,,,,,urgent assistance please
,,,,8 Nov 2003,URGENT ASSISTANCE
,,,,,Urgent Assistance
,,,,11 May 2000,MRS. MARIAM ABACHA (WIDOW).   FOR ASSISTANCE PLZ.
,,,,12 Nov 2003,CONFIDENTIAL MATTERS
,,,,13 Nov 2003,From Dr. Mohammed Mustafa
,,,,,BUSINESS PROPOSAL.
,,,,,Dear Friend!!
,,,,12 Nov 2003,"rrrrr,CONFIDENTIAL PARTNERSHIP SOLICITATION"
,,,,14 Nov 2003,let us work it out
,,,,17 Nov 2003,Please reach me!!
,,,,17 Nov 2003,PROPOSAL
,,,,17 Nov 2003,PROPOSAL
,,,,,CONFIDENTIAL BUSINESS ASSISTANCE 
,,,,19 Nov 2003,KIND  ATTENTION !!!
,,,,19 Nov 2003,rose
,,,,20 Nov 1980,From Mr Nelson Bidi .
,,,,20 Nov 1980,From Mr Nelson Bidi .
,,,,20 Nov 1980,From Mr Nelson Bidi .
,,,,,Dr. Usman ali
,,,,22 Nov 2003,urgent assistance
,,,,24 Nov 2003,Dear Confidant
,,,,25 Nov 2003,          CONFIDENCIAL   PLEASE.
,,,,25 Nov 2003,CONFIDENCIAL   PLEASE.
,,,,24 Nov 2003,ASSISTANCE
,,,,25 Nov 2003,urgent reply
,,,,25 Nov 2003,urgent reply
,,,,24 Nov 2003,KALADA HART
,,,,25 Nov 2003,VERY IMPORTANT
,,,,25 Nov 2003,GOOD RELATIONSHIP
,,,,25 Nov 2003,james momodu
,,,,26 Nov 2003,ATTENTION NEEDED URGENTLY.
